season,row_count,generated_at_utc,source_endpoint
2002,6708,2026-07-16 21:33:56 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2002/<athlete_id>.json
2003,7138,2026-07-16 21:35:47 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2003/<athlete_id>.json
2004,7052,2026-07-16 21:37:38 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2004/<athlete_id>.json
2005,7429,2026-07-16 21:39:30 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2005/<athlete_id>.json
2006,7849,2026-07-16 21:41:22 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2006/<athlete_id>.json
2007,7290,2026-07-16 21:43:16 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2007/<athlete_id>.json
2008,8226,2026-07-16 21:45:10 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2008/<athlete_id>.json
2009,6837,2026-07-16 21:47:03 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2009/<athlete_id>.json
2010,6192,2026-07-16 21:48:57 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2010/<athlete_id>.json
2011,6278,2026-07-16 21:50:51 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2011/<athlete_id>.json
2012,6536,2026-07-16 21:52:42 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2012/<athlete_id>.json
2013,6440,2026-07-16 21:54:31 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2013/<athlete_id>.json
2014,6673,2026-07-16 21:56:22 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2014/<athlete_id>.json
2015,6913,2026-07-16 21:58:14 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2015/<athlete_id>.json
2016,6966,2026-07-16 22:00:05 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2016/<athlete_id>.json
2017,6956,2026-07-16 22:02:00 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2017/<athlete_id>.json
2018,6835,2026-07-16 22:03:51 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2018/<athlete_id>.json
2019,6966,2026-07-16 22:05:43 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2019/<athlete_id>.json
2020,6579,2026-07-16 22:07:31 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2020/<athlete_id>.json
2021,6784,2026-07-16 22:09:23 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2021/<athlete_id>.json
2023,7027,2026-07-16 22:29:03 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2023/<athlete_id>.json
2024,6362,2026-05-12 01:23:29 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2024/<athlete_id>.json
2025,7230,2026-05-12 01:27:57 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2025/<athlete_id>.json
2026,9583,2026-08-07 07:57:21 UTC,https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/player_season_stats/json/2026/<athlete_id>.json
