id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,PBP,game_date_time,game_date,team_box,player_box
230916003,s:40~l:59~e:230916003~c:230916003,2003-09-17T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-17T00:00Z,event,FINALS,1,STD,6,6.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",83,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,78,FALSE,230916003,2003,3,11213e,c5d646,1911,,"","","",,,TRUE,2003-09-17T00:00:00Z,2003-09-16,TRUE,TRUE
230914003,s:40~l:59~e:230914003~c:230914003,2003-09-14T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-14T20:00Z,event,FINALS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",62,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,61,FALSE,230914003,2003,3,11213e,c5d646,1911,,"","","",,,TRUE,2003-09-14T20:00:00Z,2003-09-14,FALSE,FALSE
230912006,s:40~l:59~e:230912006~c:230912006,2003-09-13T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-13T00:00Z,event,FINALS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,75,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",63,FALSE,230912006,2003,3,532481,49ac9c,1841,,"","","",,,TRUE,2003-09-13T00:00:00Z,2003-09-12,FALSE,FALSE
230908006,s:40~l:59~e:230908006~c:230908006,2003-09-09T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-09T02:30Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,66,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,63,FALSE,230908006,2003,3,532481,49ac9c,1841,,"","","",,,TRUE,2003-09-09T02:30:00Z,2003-09-08,FALSE,FALSE
230907006,s:40~l:59~e:230907006~c:230907006,2003-09-08T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-08T02:30Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,79,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,54,FALSE,230907006,2003,3,532481,49ac9c,1841,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,TRUE,2003-09-08T02:30:00Z,2003-09-07,TRUE,TRUE
230907003,s:40~l:59~e:230907003~c:230907003,2003-09-07T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-07T22:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",79,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,73,FALSE,230907003,2003,3,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,TRUE,2003-09-07T22:00:00Z,2003-09-07,TRUE,TRUE
230905013,s:40~l:59~e:230905013~c:230905013,2003-09-06T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-06T02:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,77,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,69,FALSE,230905013,2003,3,"","",,,"","","",,,TRUE,2003-09-06T02:00:00Z,2003-09-05,TRUE,TRUE
230905018,s:40~l:59~e:230905018~c:230905018,2003-09-06T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-06T00:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,63,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",73,TRUE,230905018,2003,3,de6b36,002d62,2160,,"","","",,,TRUE,2003-09-06T00:00:00Z,2003-09-05,FALSE,FALSE
230902004,s:40~l:59~e:230902004~c:230902004,2003-09-03T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-03T01:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,68,FALSE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,70,TRUE,230902004,2003,3,"","",,,"","","",,,TRUE,2003-09-03T01:00:00Z,2003-09-02,TRUE,TRUE
230902003,s:40~l:59~e:230902003~c:230902003,2003-09-02T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-09-02T23:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",77,TRUE,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,"","",TRUE,3417,"",63,FALSE,230902003,2003,3,11213e,c5d646,1911,,"","","",,,TRUE,2003-09-02T23:00:00Z,2003-09-02,TRUE,TRUE
