id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,away_color,away_alternate_color,away_venue_id,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,game_date_time,game_date,PBP,team_box,player_box
260909003,s:40~l:59~e:260909003~c:260909003,2006-09-09T19:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-09-09T19:30Z,event,FINALS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",80,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,75,FALSE,260909003,2006,3,"","",,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-09-09T19:30:00Z,2006-09-09,TRUE,TRUE,TRUE
260906013,s:40~l:59~e:260906013~c:260906013,2006-09-07T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-09-07T01:00Z,event,FINALS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,52,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",72,TRUE,260906013,2006,3,11213e,c5d646,1911,"","",,,"","","",,,"",2006-09-07T01:00:00Z,2006-09-06,TRUE,TRUE,TRUE
260903013,s:40~l:59~e:260903013~c:260903013,2006-09-03T20:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-09-03T20:30Z,event,FINALS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,89,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",69,FALSE,260903013,2006,3,11213e,c5d646,1911,"","",,,"","","",,,"",2006-09-03T20:30:00Z,2006-09-03,TRUE,TRUE,TRUE
260901003,s:40~l:59~e:260901003~c:260901003,2006-09-01T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-09-01T23:30Z,event,FINALS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",73,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,63,FALSE,260901003,2006,3,"","",,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-09-01T23:30:00Z,2006-09-01,TRUE,TRUE,TRUE
260830003,s:40~l:59~e:260830003~c:260830003,2006-08-30T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-30T23:30Z,event,FINALS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",71,FALSE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,95,TRUE,260830003,2006,3,"","",,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-08-30T23:30:00Z,2006-08-30,TRUE,TRUE,TRUE
260827018,s:40~l:59~e:260827018~c:260827018,2006-08-28T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-28T00:00Z,event,PLAYOFFS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,55,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",79,TRUE,260827018,2006,3,11213e,c5d646,1911,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",2006-08-28T00:00:00Z,2006-08-27,TRUE,TRUE,TRUE
260826006,s:40~l:59~e:260826006~c:260826006,2006-08-27T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-27T01:00Z,event,PLAYOFFS AT ANAHEIM CA,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,58,FALSE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,72,TRUE,260826006,2006,3,"","",,532481,49ac9c,1841,,"","","",,,"",2006-08-27T01:00:00Z,2006-08-26,TRUE,TRUE,TRUE
260826018,s:40~l:59~e:260826018~c:260826018,2006-08-26T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-26T20:00Z,event,PLAYOFFS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,77,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",68,FALSE,260826018,2006,3,11213e,c5d646,1911,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",2006-08-26T20:00:00Z,2006-08-26,TRUE,TRUE,TRUE
260824013,s:40~l:59~e:260824013~c:260824013,2006-08-25T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-25T02:00Z,event,PLAYOFFS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,64,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,61,FALSE,260824013,2006,3,532481,49ac9c,1841,"","",,,"","","",,,"",2006-08-25T02:00:00Z,2006-08-24,TRUE,TRUE,TRUE
260824003,s:40~l:59~e:260824003~c:260824003,2006-08-24T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-08-24T23:30Z,event,PLAYOFFS,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",70,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,59,FALSE,260824003,2006,3,de6b36,002d62,2160,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-08-24T23:30:00Z,2006-08-24,TRUE,TRUE,TRUE
