id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
291009011,s:40~l:59~e:291009011~c:291009011,2009-10-10T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-10-10T01:00Z,event,WNBA FINALS - GAME 5,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,94,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,86,FALSE,291009011,2009,3,"",TRUE,2009-10-10T01:00:00Z,2009-10-09,TRUE,TRUE
291007005,s:40~l:59~e:291007005~c:291007005,2009-10-07T23:45Z,0,TRUE,FALSE,FALSE,FALSE,2009-10-07T23:45Z,event,WNBA FINALS - GAME 4,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,77,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,90,TRUE,291007005,2009,3,"",TRUE,2009-10-07T23:45:00Z,2009-10-07,TRUE,TRUE
291004005,s:40~l:59~e:291004005~c:291004005,2009-10-04T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-10-04T20:00Z,event,WNBA FINALS - GAME 3,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,86,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,85,FALSE,291004005,2009,3,"",TRUE,2009-10-04T20:00:00Z,2009-10-04,TRUE,TRUE
291001011,s:40~l:59~e:291001011~c:291001011,2009-10-02T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-10-02T01:00Z,event,WNBA FINALS - GAME 2,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,84,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,93,TRUE,291001011,2009,3,"",TRUE,2009-10-02T01:00:00Z,2009-10-01,TRUE,TRUE
290929011,s:40~l:59~e:290929011~c:290929011,2009-09-30T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-30T01:00Z,event,WNBA FINALS - GAME 1,1,STD,,"","","",,,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,120,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,116,FALSE,290929011,2009,3,OT,TRUE,2009-09-30T01:00:00Z,2009-09-29,TRUE,TRUE
290926011,s:40~l:59~e:290926011~c:290926011,2009-09-27T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-27T02:00Z,event,WESTERN CONFERENCE FINALS - GAME 3,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,85,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,74,FALSE,290926011,2009,3,"",TRUE,2009-09-27T02:00:00Z,2009-09-26,TRUE,TRUE
290926005,s:40~l:59~e:290926005~c:290926005,2009-09-26T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-26T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 3,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,72,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",67,FALSE,290926005,2009,3,"",TRUE,2009-09-26T23:00:00Z,2009-09-26,TRUE,TRUE
290925011,s:40~l:59~e:290925011~c:290925011,2009-09-26T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-26T02:00Z,event,WESTERN CONFERENCE FINALS - GAME 2,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,76,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,87,TRUE,290925011,2009,3,"",TRUE,2009-09-26T02:00:00Z,2009-09-25,TRUE,TRUE
290925005,s:40~l:59~e:290925005~c:290925005,2009-09-25T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-25T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 2,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,79,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",75,FALSE,290925005,2009,3,"",TRUE,2009-09-25T23:00:00Z,2009-09-25,TRUE,TRUE
290923006,s:40~l:59~e:290923006~c:290923006,2009-09-24T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-09-24T02:00Z,event,WESTERN CONFERENCE FINALS - GAME 1,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,94,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,103,TRUE,290923006,2009,3,"",TRUE,2009-09-24T02:00:00Z,2009-09-23,TRUE,TRUE
