id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,away_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400425932,s:40~l:59~e:400425932~c:400425932,2012-10-22T00:00Z,15213,TRUE,FALSE,FALSE,FALSE,2012-10-22T00:00Z,event,WNBA FINALS - GAME 4,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,87,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,78,FALSE,400425932,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,"",TRUE,2012-10-22T00:00:00Z,2012-10-21,TRUE,TRUE
400425931,s:40~l:59~e:400425931~c:400425931,2012-10-20T00:00Z,18165,TRUE,FALSE,FALSE,FALSE,2012-10-20T00:00Z,event,WNBA FINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,76,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,59,FALSE,400425931,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,"",TRUE,2012-10-20T00:00:00Z,2012-10-19,TRUE,TRUE
400425930,s:40~l:59~e:400425930~c:400425930,2012-10-18T00:00Z,13478,TRUE,FALSE,FALSE,FALSE,2012-10-18T00:00Z,event,WNBA FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,83,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,71,FALSE,400425930,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-10-18T00:00:00Z,2012-10-17,TRUE,TRUE
400425929,s:40~l:59~e:400425929~c:400425929,2012-10-15T00:00Z,14322,TRUE,FALSE,FALSE,FALSE,2012-10-15T00:00Z,event,WNBA FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,70,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,76,TRUE,400425929,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-10-15T00:00:00Z,2012-10-14,TRUE,TRUE
400421428,s:40~l:59~e:400421428~c:400421428,2012-10-12T00:30Z,6516,TRUE,FALSE,FALSE,FALSE,2012-10-12T00:30Z,event,EASTERN CONFERENCE FINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,71,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,87,TRUE,400421428,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE,2012-10-12T00:30:00Z,2012-10-11,TRUE,TRUE
400421427,s:40~l:59~e:400421427~c:400421427,2012-10-09T00:00Z,9225,TRUE,FALSE,FALSE,FALSE,2012-10-09T00:00Z,event,EASTERN CONFERENCE FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,78,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,76,FALSE,400421427,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,"",TRUE,2012-10-09T00:00:00Z,2012-10-08,TRUE,TRUE
400421430,s:40~l:59~e:400421430~c:400421430,2012-10-07T19:30Z,10791,TRUE,FALSE,FALSE,FALSE,2012-10-07T19:30Z,event,WESTERN CONFERENCE FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,79,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,80,TRUE,400421430,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,2012-10-07T19:30:00Z,2012-10-07,TRUE,TRUE
400421426,s:40~l:59~e:400421426~c:400421426,2012-10-06T00:00Z,7599,TRUE,FALSE,FALSE,FALSE,2012-10-06T00:00Z,event,EASTERN CONFERENCE FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,76,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,64,FALSE,400421426,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",FALSE,2012-10-06T00:00:00Z,2012-10-05,TRUE,TRUE
400421429,s:40~l:59~e:400421429~c:400421429,2012-10-05T00:00Z,8513,TRUE,FALSE,FALSE,FALSE,2012-10-05T00:00Z,event,WESTERN CONFERENCE FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,94,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,77,FALSE,400421429,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-10-05T00:00:00Z,2012-10-04,TRUE,TRUE
400407866,s:40~l:59~e:400407866~c:400407866,2012-10-03T01:00Z,8023,TRUE,FALSE,FALSE,FALSE,2012-10-03T01:00Z,event,WESTERN CONFERENCE SEMIFINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,73,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,72,FALSE,400407866,2012,3,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-10-03T01:00:00Z,2012-10-02,TRUE,TRUE
