id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400505696,s:40~l:59~e:400505696~c:400505696,2013-10-11T00:30Z,5040,TRUE,FALSE,FALSE,FALSE,2013-10-11T00:30Z,event,WNBA FINALS - GAME 3,1,STD,1245,The Arena at Gwinnett Center,Duluth,GA,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,77,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,86,TRUE,400505696,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,"",TRUE,2013-10-11T00:30:00Z,2013-10-10,TRUE,TRUE
400505695,s:40~l:59~e:400505695~c:400505695,2013-10-09T00:00Z,12313,TRUE,FALSE,FALSE,FALSE,2013-10-09T00:00Z,event,WNBA FINALS - GAME 2,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,88,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,63,FALSE,400505695,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2013-10-09T00:00:00Z,2013-10-08,TRUE,TRUE
400505694,s:40~l:59~e:400505694~c:400505694,2013-10-07T00:30Z,13804,TRUE,FALSE,FALSE,FALSE,2013-10-07T00:30Z,event,WNBA FINALS - GAME 1,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,84,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,59,FALSE,400505694,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2013-10-07T00:30:00Z,2013-10-06,TRUE,TRUE
400499747,s:40~l:59~e:400499747~c:400499747,2013-09-29T21:00Z,8020,TRUE,FALSE,FALSE,FALSE,2013-09-29T21:00Z,event,WESTERN CONFERENCE FINALS - GAME 2,1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,65,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,72,TRUE,400499747,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2013-09-29T21:00:00Z,2013-09-29,TRUE,TRUE
400499744,s:40~l:59~e:400499744~c:400499744,2013-09-29T19:00Z,7051,TRUE,FALSE,FALSE,FALSE,2013-09-29T19:00Z,event,EASTERN CONFERENCE FINALS - GAME 2,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,53,FALSE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,67,TRUE,400499744,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",TRUE,2013-09-29T19:00:00Z,2013-09-29,TRUE,TRUE
400499746,s:40~l:59~e:400499746~c:400499746,2013-09-27T01:00Z,9013,TRUE,FALSE,FALSE,FALSE,2013-09-27T01:00Z,event,WESTERN CONFERENCE FINALS - GAME 1,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,85,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,62,FALSE,400499746,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2013-09-27T01:00:00Z,2013-09-26,TRUE,TRUE
400499743,s:40~l:59~e:400499743~c:400499743,2013-09-26T23:00Z,4238,TRUE,FALSE,FALSE,FALSE,2013-09-26T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 1,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,84,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,79,FALSE,400499743,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,"",TRUE,2013-09-26T23:00:00Z,2013-09-26,TRUE,TRUE
400496779,s:40~l:59~e:400496779~c:400496779,2013-09-24T02:00Z,9321,TRUE,FALSE,FALSE,FALSE,2013-09-24T02:00Z,event,WESTERN CONFERENCE SEMIFINALS - GAME 3,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,77,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,78,TRUE,400496779,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,2013-09-24T02:00:00Z,2013-09-23,TRUE,TRUE
400496776,s:40~l:59~e:400496776~c:400496776,2013-09-24T00:00Z,4078,TRUE,FALSE,FALSE,FALSE,2013-09-24T00:00Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 3,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,80,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,72,FALSE,400496776,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,"",TRUE,2013-09-24T00:00:00Z,2013-09-23,TRUE,TRUE
400496784,s:40~l:59~e:400496784~c:400496784,2013-09-22T21:00Z,3457,TRUE,FALSE,FALSE,FALSE,2013-09-22T21:00Z,event,WESTERN CONFERENCE SEMIFINALS - GAME 2,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,55,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,58,TRUE,400496784,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,2013-09-22T21:00:00Z,2013-09-22,TRUE,TRUE
