id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,home_logo,away_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400582775,s:40~l:59~e:400582775~c:400582775,2014-09-13T00:00Z,7365,TRUE,FALSE,FALSE,FALSE,2014-09-13T00:00Z,event,WNBA FINALS - GAME 3,1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,82,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,87,TRUE,400582775,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2014-09-13T00:00:00Z,2014-09-12,TRUE,TRUE
400582774,s:40~l:59~e:400582774~c:400582774,2014-09-10T01:00Z,13348,TRUE,FALSE,FALSE,FALSE,2014-09-10T01:00Z,event,WNBA FINALS - GAME 2,1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,97,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,68,FALSE,400582774,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-09-10T01:00:00Z,2014-09-09,TRUE,TRUE
400582773,s:40~l:59~e:400582773~c:400582773,2014-09-07T19:30Z,13263,TRUE,FALSE,FALSE,FALSE,2014-09-07T19:30Z,event,WNBA FINALS - GAME 1,1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,83,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,62,FALSE,400582773,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-09-07T19:30:00Z,2014-09-07,TRUE,TRUE
400581823,s:40~l:59~e:400581823~c:400581823,2014-09-03T23:00Z,7705,TRUE,FALSE,FALSE,FALSE,2014-09-03T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 3,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,62,FALSE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,75,TRUE,400581823,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-09-03T23:00:00Z,2014-09-03,TRUE,TRUE
400581629,s:40~l:59~e:400581629~c:400581629,2014-09-03T02:00Z,9749,TRUE,FALSE,FALSE,FALSE,2014-09-03T02:00Z,event,WESTERN CONFERENCE FINALS - GAME 3,1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,96,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,78,FALSE,400581629,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2014-09-03T02:00:00Z,2014-09-02,TRUE,TRUE
400581822,s:40~l:59~e:400581822~c:400581822,2014-09-01T20:00Z,6019,TRUE,FALSE,FALSE,FALSE,2014-09-01T20:00Z,event,EASTERN CONFERENCE FINALS - GAME 2,1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,6,3,STATUS_FINAL,post,TRUE,Final,Final/2OT,Final/2OT,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,86,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,84,FALSE,400581822,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,2OT,TRUE,2014-09-01T20:00:00Z,2014-09-01,TRUE,TRUE
400581628,s:40~l:59~e:400581628~c:400581628,2014-08-31T19:30Z,10513,TRUE,FALSE,FALSE,FALSE,2014-08-31T19:30Z,event,WESTERN CONFERENCE FINALS - GAME 2,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,82,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,77,FALSE,400581628,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2014-08-31T19:30:00Z,2014-08-31,TRUE,TRUE
400581821,s:40~l:59~e:400581821~c:400581821,2014-08-30T23:00Z,7557,TRUE,FALSE,FALSE,FALSE,2014-08-30T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 1,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,77,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,70,FALSE,400581821,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-08-30T23:00:00Z,2014-08-30,TRUE,TRUE
400581627,s:40~l:59~e:400581627~c:400581627,2014-08-30T02:00Z,10376,TRUE,FALSE,FALSE,FALSE,2014-08-30T02:00Z,event,WESTERN CONFERENCE FINALS - GAME 1,1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,85,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,71,FALSE,400581627,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2014-08-30T02:00:00Z,2014-08-29,TRUE,TRUE
400580069,s:40~l:59~e:400580069~c:400580069,2014-08-26T23:30Z,4829,TRUE,FALSE,FALSE,FALSE,2014-08-26T23:30Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 3,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,80,FALSE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,81,TRUE,400580069,2014,3,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-08-26T23:30:00Z,2014-08-26,TRUE,TRUE
